,resultId,value,time,limb,repeat,definition_id,result_key,description,name,unit,repeatable,asymmetry
0,655365,21.025999999999225,21.026,Trial,0,655365,START_OF_MOVEMENT,Absolute time from the start of recording to start of movement,Start of Movement,Second,False,True
1,655366,17.549728610341617,21.026,Trial,0,655366,START_OF_MOVEMENT_THRESHOLD,Threshold used for start of movement detection,Start of Movement Detection Threshold,Newton,False,False
2,655367,21.025999999999225,21.026,Trial,0,655367,START_OF_INTEGRATION,"Start time point for impulse, velocity and displacement integration",Start of Integration,Second,False,False
3,655386,90.3,0.0,Trial,0,655386,BODY_WEIGHT,Mass of the profile in kilograms,Bodyweight in Kilograms,Kilo,False,False
4,655387,90.3,0.0,Trial,0,655387,BODY_WEIGHT_LBS,Mass of the profile in pounds,Bodyweight in Pounds,Pound,False,False
5,6553602,21.655999999998876,21.656,Trial,0,6553602,BEGIN_CONCENTRIC_PHASE,Asbolute time from the start of recording to the start of the concentric phase,Start of Concentric Phase,Second,False,False
6,6553603,-31.80029639279121,21.656,Trial,0,6553603,COUNTERMOVEMENT_DEPTH,The amount of displacement the CM goes through from contact (zero position) to the lowest value. Note if the hips and knees are flexed at contact this is still the reference zero position.,Countermovement Depth,Centimeter,False,False
7,6553604,60.293,21.846,Trial,0,6553604,BODYMASS_RELATIVE_TAKEOFF_POWER,Peak power divided by body mass,Peak Power / BM,Watt Per Kilo,False,False
8,6553606,0.5919999999996719,22.504,Trial,0,6553606,FLIGHT_TIME,The time interval between take-off and landing,Flight Time,Millisecond,False,False
9,6553607,42.960972319952376,22.504,Trial,0,6553607,JUMP_HEIGHT,Jump height calculated from flight time,Jump Height (Flight Time),Centimeter,False,False
10,6553608,1609.3388233726962,22.576,Trial,0,6553608,JUMP_HEIGHT_RELATIVE_LANDING_RFD,Jump Height (FT) Relative Landing RFD,Jump Height (FT) Relative Landing RFD,Newton Per Second Per Centimeter,False,False
11,6553609,115.872,22.576,Trial,0,6553609,JUMP_HEIGHT_RELATIVE_PEAK_LANDING_FORCE,Jump Height (FT) Relative Peak Landing Force,Jump Height (FT) Relative Peak Landing Force,Newton Per Centimeter,False,False
12,6553610,42.80273628190645,22.208,Trial,0,6553610,IMPULSE_JUMP_HEIGHT,Jump height taken from the max displacement of the CM during the flight phase subtracting the displacement at the instant of take-off,Jump Height (Imp-Dis),Centimeter,False,False
13,6553611,42.836484961750116,21.912,Trial,0,6553611,JUMP_HEIGHT_IMP_MOM,"Jump height is determined from the Kinetic energy relationship after establishing the velocity at the instant of take-off (derived by determining the change in velocity from the impulse measurment throughout the contact phase, utilises the trapezium/simpsons rule)",Jump Height (Imp-Mom),Centimeter,False,False
14,6553612,69138.761,22.576,Trial,0,6553612,LANDING_RFD,Landing Rate of Force Development,Landing RFD,Newton Per Second,False,True
15,6553612,36870.768,22.576,Left,0,6553612,LANDING_RFD,Landing Rate of Force Development,Landing RFD,Newton Per Second,False,True
16,6553612,34204.221,22.576,Right,0,6553612,LANDING_RFD,Landing Rate of Force Development,Landing RFD,Newton Per Second,False,True
17,6553612,-7.2,22.576,Asym,0,6553612,LANDING_RFD,Landing Rate of Force Development,Landing RFD,Newton Per Second,False,True
18,6553613,16.91377776333757,22.504,Trial,0,6553613,JUMP_HEIGHT_INCHES,"Jump height calculated from flight time, in inches",Jump Height (Flight Time) in Inches,Inch,False,False
19,6553614,16.864766965925984,21.912,Trial,0,6553614,JUMP_HEIGHT_INCHES_IMP_MOM,"Jump height is determined from the Kinetic energy relationship after establishing the velocity at the instant of take-off (derived by determining the change in velocity from the impulse measurment throughout the contact phase, utilises the trapezium/simpsons rule)",Jump Height (Imp-Mom) in Inches,Inch,False,False
20,6553615,2.948,23.502,Trial,0,6553615,MEAN_LANDING_ACCELERATION,The average acceleration during landing,Mean Landing Acceleration,Meter Per Second Per Second,False,False
21,6553616,968.505,23.502,Trial,0,6553616,MEAN_LANDING_POWER,The average power (force x velocity) during landing,Mean Landing Power,Watt,False,False
22,6553617,-0.092,23.502,Trial,0,6553617,MEAN_LANDING_VELOCITY,The average velocity during landing,Mean Landing Velocity,Meter Per Second,False,False
23,6553618,11.205,21.912,Trial,0,6553618,MEAN_TAKEOFF_ACCELERATION,Mean Takeoff Acceleration,Mean Takeoff Acceleration,Meter Per Second Per Second,False,False
24,6553619,1897.316,21.912,Trial,0,6553619,MEAN_TAKEOFF_FORCE,The average force in the concentric phase,Concentric Mean Force,Newton,False,True
25,6553619,930.517,21.912,Left,0,6553619,MEAN_TAKEOFF_FORCE,The average force in the concentric phase,Concentric Mean Force,Newton,False,True
26,6553619,966.799,21.912,Right,0,6553619,MEAN_TAKEOFF_FORCE,The average force in the concentric phase,Concentric Mean Force,Newton,False,True
27,6553619,3.8,21.912,Asym,0,6553619,MEAN_TAKEOFF_FORCE,The average force in the concentric phase,Concentric Mean Force,Newton,False,True
28,6553620,888.7439309466156,21.656,Trial,0,6553620,MEAN_ECCENTRIC_FORCE,The average force in the eccentric phase,Eccentric Mean Force,Newton,False,True
29,6553620,438.89149339037147,21.656,Left,0,6553620,MEAN_ECCENTRIC_FORCE,The average force in the eccentric phase,Eccentric Mean Force,Newton,False,True
30,6553620,449.85243755624924,21.656,Right,0,6553620,MEAN_ECCENTRIC_FORCE,The average force in the eccentric phase,Eccentric Mean Force,Newton,False,True
31,6553620,2.43656435995353,21.656,Asym,0,6553620,MEAN_ECCENTRIC_FORCE,The average force in the eccentric phase,Eccentric Mean Force,Newton,False,True
32,6553621,445.6558554170128,21.656,Trial,0,6553621,MEAN_ECCENTRIC_POWER,Eccentric Mean Power,Eccentric Mean Power,Watt,False,False
33,6553622,46.84215850372919,21.656,Trial,0,6553622,MEAN_ECC_CON_RATIO,Ratio of mean forces in the eccentric and concentric phases,Eccentric:Concentric Mean Force Ratio,Percent,False,True
34,6553622,47.16641341776288,21.656,Left,0,6553622,MEAN_ECC_CON_RATIO,Ratio of mean forces in the eccentric and concentric phases,Eccentric:Concentric Mean Force Ratio,Percent,False,True
35,6553622,46.53007233179595,21.656,Right,0,6553622,MEAN_ECC_CON_RATIO,Ratio of mean forces in the eccentric and concentric phases,Eccentric:Concentric Mean Force Ratio,Percent,False,True
36,6553622,-1.349140288303725,21.656,Asym,0,6553622,MEAN_ECC_CON_RATIO,Ratio of mean forces in the eccentric and concentric phases,Eccentric:Concentric Mean Force Ratio,Percent,False,True
37,6553623,3005.967,21.912,Trial,0,6553623,MEAN_CONCENTRIC_POWER,The average power (force x velocity) in the concentric phase,Concentric Mean Power,Watt,False,False
38,6553624,33.289,21.912,Trial,0,6553624,BODYMASS_RELATIVE_MEAN_CONCENTRIC_POWER,The average power (force x velocity) in the concentric phase divided by body mass,Concentric Mean Power / BM,Watt Per Kilo,False,False
39,6553625,4.935280790886077,21.656,Trial,0,6553625,BODYMASS_RELATIVE_MEAN_ECCENTRIC_POWER,The average power (force x velocity) in the eccentric phase divided by body mass,Eccentric Mean Power / BM,Watt Per Kilo,False,False
40,6553626,1.745,21.912,Trial,0,6553626,MEAN_TAKEOFF_VELOCITY,The average velocity during the concentric phase,Concentric Mean Velocity,Meter Per Second,False,False
41,6553627,45.321,22.576,Trial,0,6553627,PEAK_LANDING_ACCELERATION,Peak acceleration during landing,Peak Landing Acceleration,Meter Per Second Per Second,False,False
42,6553628,4977.990766389658,22.576,Trial,0,6553628,PEAK_LANDING_FORCE,Peak force during landing,Peak Landing Force,Newton,False,True
