,resultId,value,time,limb,repeat,definition_id,result_key,description,name,unit,repeatable,asymmetry,metric_id
0,655365,33.48399999999496,33.484,Trial,0,655365,START_OF_MOVEMENT,Absolute time from the start of recording to start of movement,Start of Movement,s,False,True,START_OF_MOVEMENT_Trial_s
1,655366,19.759783184824755,33.484,Trial,0,655366,START_OF_MOVEMENT_THRESHOLD,Threshold used for start of movement detection,Start of Movement Detection Threshold,N,False,False,START_OF_MOVEMENT_THRESHOLD_Trial_N
2,655367,33.48399999999496,33.484,Trial,0,655367,START_OF_INTEGRATION,"Start time point for impulse, velocity and displacement integration",Start of Integration,s,False,False,START_OF_INTEGRATION_Trial_s
3,655386,90.97,0.0,Trial,0,655386,BODY_WEIGHT,Mass of the profile in kilograms,Bodyweight in Kilograms,kg,False,False,BODY_WEIGHT_Trial_kg
4,655387,90.97,0.0,Trial,0,655387,BODY_WEIGHT_LBS,Mass of the profile in pounds,Bodyweight in Pounds,lb,False,False,BODY_WEIGHT_LBS_Trial_lb
5,6553602,34.04399999999564,34.044,Trial,0,6553602,BEGIN_CONCENTRIC_PHASE,Asbolute time from the start of recording to the start of the concentric phase,Start of Concentric Phase,s,False,False,BEGIN_CONCENTRIC_PHASE_Trial_s
6,6553603,-35.6459591112013,34.044,Trial,0,6553603,COUNTERMOVEMENT_DEPTH,The amount of displacement the CM goes through from contact (zero position) to the lowest value. Note if the hips and knees are flexed at contact this is still the reference zero position.,Countermovement Depth,cm,False,False,COUNTERMOVEMENT_DEPTH_Trial_cm
7,6553604,56.387,34.252,Trial,0,6553604,BODYMASS_RELATIVE_TAKEOFF_POWER,Peak power divided by body mass,Peak Power / BM,W/kg,False,False,BODYMASS_RELATIVE_TAKEOFF_POWER_Trial_W/kg
8,6553606,0.5820000000007113,34.9,Trial,0,6553606,FLIGHT_TIME,The time interval between take-off and landing,Flight Time,ms,False,False,FLIGHT_TIME_Trial_ms
9,6553607,41.52184643260149,34.9,Trial,0,6553607,JUMP_HEIGHT,Jump height calculated from flight time,Jump Height (Flight Time),cm,False,False,JUMP_HEIGHT_Trial_cm
10,6553608,1642.1437901149213,34.956,Trial,0,6553608,JUMP_HEIGHT_RELATIVE_LANDING_RFD,Jump Height (FT) Relative Landing RFD,Jump Height (FT) Relative Landing RFD,N/s/cm,False,False,JUMP_HEIGHT_RELATIVE_LANDING_RFD_Trial_N/s/cm
11,6553609,91.96,34.956,Trial,0,6553609,JUMP_HEIGHT_RELATIVE_PEAK_LANDING_FORCE,Jump Height (FT) Relative Peak Landing Force,Jump Height (FT) Relative Peak Landing Force,N/cm,False,False,JUMP_HEIGHT_RELATIVE_PEAK_LANDING_FORCE_Trial_N/cm
12,6553610,39.70913296447816,34.602,Trial,0,6553610,IMPULSE_JUMP_HEIGHT,Jump height taken from the max displacement of the CM during the flight phase subtracting the displacement at the instant of take-off,Jump Height (Imp-Dis),cm,False,False,IMPULSE_JUMP_HEIGHT_Trial_cm
13,6553611,39.72760573198801,34.318,Trial,0,6553611,JUMP_HEIGHT_IMP_MOM,"Jump height is determined from the Kinetic energy relationship after establishing the velocity at the instant of take-off (derived by determining the change in velocity from the impulse measurment throughout the contact phase, utilises the trapezium/simpsons rule)",Jump Height (Imp-Mom),cm,False,False,JUMP_HEIGHT_IMP_MOM_Trial_cm
14,6553612,68184.842,34.956,Trial,0,6553612,LANDING_RFD,Landing Rate of Force Development,Landing RFD,N/s,False,True,LANDING_RFD_Trial_N/s
15,6553612,44663.705,34.956,Left,0,6553612,LANDING_RFD,Landing Rate of Force Development,Landing RFD,N/s,False,True,LANDING_RFD_Left_N/s
16,6553612,132774.18,34.956,Right,0,6553612,LANDING_RFD,Landing Rate of Force Development,Landing RFD,N/s,False,True,LANDING_RFD_Right_N/s
17,6553612,66.4,34.956,Asym,0,6553612,LANDING_RFD,Landing Rate of Force Development,Landing RFD,N/s,False,True,LANDING_RFD_Asym_N/s
18,6553613,16.34719246236164,34.9,Trial,0,6553613,JUMP_HEIGHT_INCHES,"Jump height calculated from flight time, in inches",Jump Height (Flight Time) in Inches,in,False,False,JUMP_HEIGHT_INCHES_Trial_in
19,6553614,15.640798104289411,34.318,Trial,0,6553614,JUMP_HEIGHT_INCHES_IMP_MOM,"Jump height is determined from the Kinetic energy relationship after establishing the velocity at the instant of take-off (derived by determining the change in velocity from the impulse measurment throughout the contact phase, utilises the trapezium/simpsons rule)",Jump Height (Imp-Mom) in Inches,in,False,False,JUMP_HEIGHT_INCHES_IMP_MOM_Trial_in
20,6553615,2.016,35.898,Trial,0,6553615,MEAN_LANDING_ACCELERATION,The average acceleration during landing,Mean Landing Acceleration,m/s²,False,False,MEAN_LANDING_ACCELERATION_Trial_m/s²
21,6553616,985.87,35.898,Trial,0,6553616,MEAN_LANDING_POWER,The average power (force x velocity) during landing,Mean Landing Power,W,False,False,MEAN_LANDING_POWER_Trial_W
22,6553617,-0.232,35.898,Trial,0,6553617,MEAN_LANDING_VELOCITY,The average velocity during landing,Mean Landing Velocity,m/s,False,False,MEAN_LANDING_VELOCITY_Trial_m/s
23,6553618,10.139,34.318,Trial,0,6553618,MEAN_TAKEOFF_ACCELERATION,Mean Takeoff Acceleration,Mean Takeoff Acceleration,m/s²,False,False,MEAN_TAKEOFF_ACCELERATION_Trial_m/s²
24,6553619,1814.467,34.318,Trial,0,6553619,MEAN_TAKEOFF_FORCE,The average force in the concentric phase,Concentric Mean Force,N,False,True,MEAN_TAKEOFF_FORCE_Trial_N
25,6553619,946.636,34.318,Left,0,6553619,MEAN_TAKEOFF_FORCE,The average force in the concentric phase,Concentric Mean Force,N,False,True,MEAN_TAKEOFF_FORCE_Left_N
26,6553619,867.831,34.318,Right,0,6553619,MEAN_TAKEOFF_FORCE,The average force in the concentric phase,Concentric Mean Force,N,False,True,MEAN_TAKEOFF_FORCE_Right_N
27,6553619,-8.3,34.318,Asym,0,6553619,MEAN_TAKEOFF_FORCE,The average force in the concentric phase,Concentric Mean Force,N,False,True,MEAN_TAKEOFF_FORCE_Asym_N
28,6553620,894.4187829735415,34.044,Trial,0,6553620,MEAN_ECCENTRIC_FORCE,The average force in the eccentric phase,Eccentric Mean Force,N,False,True,MEAN_ECCENTRIC_FORCE_Trial_N
29,6553620,452.0037491172421,34.044,Left,0,6553620,MEAN_ECCENTRIC_FORCE,The average force in the eccentric phase,Eccentric Mean Force,N,False,True,MEAN_ECCENTRIC_FORCE_Left_N
30,6553620,442.4150338562936,34.044,Right,0,6553620,MEAN_ECCENTRIC_FORCE,The average force in the eccentric phase,Eccentric Mean Force,N,False,True,MEAN_ECCENTRIC_FORCE_Right_N
31,6553620,-2.121379585827585,34.044,Asym,0,6553620,MEAN_ECCENTRIC_FORCE,The average force in the eccentric phase,Eccentric Mean Force,N,False,True,MEAN_ECCENTRIC_FORCE_Asym_N
32,6553621,565.8238461222949,34.044,Trial,0,6553621,MEAN_ECCENTRIC_POWER,Eccentric Mean Power,Eccentric Mean Power,W,False,False,MEAN_ECCENTRIC_POWER_Trial_W
33,6553622,49.29374461336074,34.044,Trial,0,6553622,MEAN_ECC_CON_RATIO,Ratio of mean forces in the eccentric and concentric phases,Eccentric:Concentric Mean Force Ratio,%,False,True,MEAN_ECC_CON_RATIO_Trial_%
34,6553622,47.748430043517196,34.044,Left,0,6553622,MEAN_ECC_CON_RATIO,Ratio of mean forces in the eccentric and concentric phases,Eccentric:Concentric Mean Force Ratio,%,False,True,MEAN_ECC_CON_RATIO_Left_%
